Id,Year,Month,Day,Hour,Minute,Second,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
10224,2016,12,25,14,22,0,CHILE,CHILE,-43.517,-74.391,30,7.6,7,,,,
10225,2017,1,3,21,53,7,FIJI,FIJI ISLANDS,-19.373,176.052,12,6.9,6,,,,
10226,2017,1,3,9,9,8,INDIA,INDIA:  AMBASA;  BANGLADESH,24.015,92.018,32,5.7,,3,,,1492
10227,2017,1,6,2,33,21,IRAN,IRAN:  KHONJ,28.2,53.107,10,5,,4,4,,
10228,2016,9,23,16,12,1,RWANDA,RWANDA:  RISUZI; CONGO:  UKAVU,-2.65,29.06,10,4.8,,8,,,22
10229,2016,10,1,8,4,33,PAKISTAN,"PAKISTAN:  MANSEHRA, NARAN",34.905,73.682,10,5.4,2,1,,,
10230,2016,11,27,23,35,2,NEPAL,"NEPAL:   MOUNT AMA DABLAM, CHARIKHARKA",27.802,86.532,10,5.4,4,1,1,,2
10231,2016,11,29,20,9,35,POLAND,POLAND:  RUDNA,51.613,16.157,5,4.2,,8,9,,
10232,2016,12,1,22,40,0,PERU,"PERU:  PUNO, LAMPA",-15.44,-70.93,10,6.2,6,1,17,,8
10233,1996,9,5,23,42,6,TAIWAN,TAIWAN REGION,21.898,121.498,20,6.8,,,,,
10234,2017,1,18,10,14,9,ITALY,ITALY:  FARINDOLA,42.529,13.282,9,5.7,,34,11,18,
10235,2017,1,22,4,31,36,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BOUGAINVILLE ISLAND,-6.246,155.172,135,7.9,9,3,,,
10237,2017,2,7,22,3,39,PAKISTAN,PAKISTAN:  PASNI,25.191,63.264,29,6.3,,,,,20
10238,2017,2,10,14,4,32,PHILIPPINES,PHILIPPINES: SURIGAO DEL NORTE,9.907,125.452,15,6.5,8,8,202,40,215
