Id,Year,Month,Day,Hour,Minute,Second,Tsunami,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
10448,2019,9,25,23,46,44,,INDONESIA,INDONESIA:  MALUKU:  AMBON,-3.45,128.347,18,6.5,,31,179,,
10449,2019,9,26,10,59,26,,TURKEY,TURKEY:  ISTANBUL,40.89,28.173,10,5.7,,1,34,,
10450,2019,9,26,16,36,18,,CHILE,CHILE:  SOUTH CENTRAL,-40.815,-72.002,129,6.1,,1,,,
10451,2019,9,29,15,57,53,,CHILE,CHILE:  CONCEPCION,-35.473,-73.162,11,6.8,,1,,,
10452,2019,10,10,4,39,48,,INDONESIA,INDONESIA:  PASSO,-3.65,128.216,54,5,7,1,2,,
10453,2019,10,16,11,37,6,,PHILIPPINES,"PHILIPPINES:  MINDANAO:  COTABATO, DAVAO",6.712,125.005,14,6.4,7,7,215,,506
10454,2019,10,29,1,4,44,,PHILIPPINES,"PHILIPPINES:  MINDANAO:  COTABATO, DAVAO",6.802,125.04,15,6.6,,12,417,,22363
10455,2019,10,31,1,11,19,,PHILIPPINES,"PHILIPPINES:  COTABATO, SULTAN KUDARAT",6.91,125.156,10,6.5,,9,,,
10456,2019,11,7,22,47,5,,IRAN,IRAN: MIYANEH,37.808,47.558,10,,,5,584,,
10457,2019,11,14,16,17,40,5733,INDONESIA,INDONESIA:  MOLUCCA ISLANDS:  N,1.6,126.416,33,7.1,,1,3,,
10458,2019,11,12,10,10,44,,INDONESIA,INDONESIA:  MALUKU:  AMBON,-3.61,128.299,50,5,,2,3,,
10459,2019,11,18,13,22,9,,PHILIPPINES,PHILIPPINES:  MINDANAO:  BUKIDNON PROVINCE,7.625,124.912,,5.9,6,,16,,61
10460,2019,11,25,1,18,21,,CHINA,CHINA:  GUANGXI PROVINCE,22.96,106.711,10,5,,1,4,,
10461,2019,11,26,2,54,12,,ALBANIA,"ALBANIA:  DURRES, THUMANE, TIRANA",41.521,19.559,20,6.4,,51,2000,1081,11000
10462,2019,12,15,6,11,52,,PHILIPPINES,PHILIPPINES:  MINDANAO:  DAVAO,6.708,125.188,22,6.8,,13,210,,4546
10463,2019,12,18,0,14,7,,CHINA,CHINA:  SICHUAN PROVINCE: NEIJIANG,29.639,104.946,10,5.2,,,18,,
10467,2020,1,7,8,24,26,5736,USA TERRITORY,"PUERTO RICO:  PONCE,SAN JUAN",17.916,-66.813,10,6.4,8,4,,800,300
10468,2017,3,26,23,55,6,,CHINA,CHINA:   YUNNAN PROVINCE,25.938,99.841,28,5,2,,1,31,
10473,2017,11,17,22,34,45,,CHINA,CHINA:  TIBET (XIZANG PROVINCE): NYINGCHI,29.833,94.984,8,6.4,9,,3,,
10474,2020,1,19,13,27,56,,CHINA,CHINA:  XINJIANG PROVINCE,39.831,77.106,6,6,,1,2,,
10475,2020,1,24,17,55,14,,TURKEY,TURKEY:  ELAZIG AND MALATYA PROVINCES,38.39,39.081,12,6.7,,41,1600,,76
10476,2020,1,28,19,10,25,5740,CUBA,CUBA: GRANMA;  CAYMAN IS;  JAMAICA,19.44,-78.755,10,7.7,,,,,1
10478,2019,5,30,9,3,32,,EL SALVADOR,EL SALVADOR:  SAN SALVADOR,13.199,-89.306,58,6.6,,1,1,,
10479,2019,1,26,12,33,23,,COLOMBIA,"COLOMBIA:  CAUCA, HUILA",3.035,-75.738,10,5.6,,1,,,
10480,2020,2,23,16,0,31,,IRAN,TURKEY: VAN;  IRAN,38.482,44.367,10,6,,10,60,,255
10481,2016,8,20,9,1,26,5741,JAPAN,JAPAN:  OFF EAST COAST HONSHU,40.394,143.68,10,6,2,,,,
10482,1998,5,30,18,18,15,5742,JAPAN,"SANRIKU, JAPAN",39.027,143.441,33,6.2,,,,,
