time,place,mag,type,geometry
1696983213148,Greenland Sea,4.7,earthquake,"{'type': 'Point', 'coordinates': [6.8387, 73.2469, 10]}"
1696982681629,"Pulau-Pulau Sangihe, Indonesia",4.6,earthquake,"{'type': 'Point', 'coordinates': [125.7671, 2.8832, 173.908]}"
1696982345490,"114 km NNE of Cruz Bay, U.S. Virgin Islands",3.62,earthquake,"{'type': 'Point', 'coordinates': [-64.3425, 19.2676, 14]}"
1696969224229,,4.6,earthquake,"{'type': 'Point', 'coordinates': [129.7709, -6.6481, 166.592]}"
1696956148421,"43 km SSW of Gongdanglegi Kulon, Indonesia",4.7,earthquake,"{'type': 'Point', 'coordinates': [112.5475, -8.5598, 84.706]}"
1696948733839,"40 km NNW of Labuan Bajo, Indonesia",4.4,earthquake,"{'type': 'Point', 'coordinates': [119.7296, -8.1662, 186.555]}"
1696940861581,"153 km ENE of Saipan, Northern Mariana Islands",4.9,earthquake,"{'type': 'Point', 'coordinates': [146.9409, 15.9832, 36.505]}"
1696940670189,"116 km SSE of Burica, Panama",4.5,earthquake,"{'type': 'Point', 'coordinates': [-82.5847, 7.0223, 10]}"
1696935373977,"90 km WNW of Puerto, Chile",4.2,earthquake,"{'type': 'Point', 'coordinates': [-70.9985, -20.0398, 17]}"
1696935238767,"98 km SSW of Severo-Kuril’sk, Russia",4.4,earthquake,"{'type': 'Point', 'coordinates': [155.7379, 49.8268, 74.498]}"
1696932091086,"57 km WSW of Abra Pampa, Argentina",6.0,earthquake,"{'type': 'Point', 'coordinates': [-66.2242, -22.8844, 247.255]}"
1696931304920,"128 km NNE of Cruz Bay, U.S. Virgin Islands",3.91,earthquake,"{'type': 'Point', 'coordinates': [-64.2715, 19.3806, 45]}"
1696926766879,"161 km WSW of Elfin Cove, Alaska",4.2,earthquake,"{'type': 'Point', 'coordinates': [-139.017, 57.8948, 5.9]}"
1696922492234,"62 km NW of Hihifo, Tonga",5.7,earthquake,"{'type': 'Point', 'coordinates': [-174.2009, -15.545, 25.023]}"
1696919257739,"102 km NNW of San Antonio de los Cobres, Argentina",4.4,earthquake,"{'type': 'Point', 'coordinates': [-66.8135, -23.4159, 210.083]}"
1696899943524,Honduras,4.4,earthquake,"{'type': 'Point', 'coordinates': [-87.6259, 13.1487, 191.755]}"
1696896795347,"63 km SE of Embarcación, Argentina",5.6,earthquake,"{'type': 'Point', 'coordinates': [-63.6564, -23.6067, 538.053]}"
1696890730908,"57 km SE of Petropavlovsk-Kamchatsky, Russia",4.3,earthquake,"{'type': 'Point', 'coordinates': [159.3114, 52.7517, 71.476]}"
1696890320740,"65 km SSW of Intipucá, El Salvador",4.4,earthquake,"{'type': 'Point', 'coordinates': [-88.2309, 12.6316, 62.107]}"
1696884065878,off the coast of Ecuador,4.6,earthquake,"{'type': 'Point', 'coordinates': [-85.3469, 1.6193, 10]}"
1696880886471,"19 km ENE of Ust’-Kamchatsk Staryy, Russia",4.3,earthquake,"{'type': 'Point', 'coordinates': [162.768, 56.3012, 10]}"
1696876999048,"87 km E of Kokopo, Papua New Guinea",4.3,earthquake,"{'type': 'Point', 'coordinates': [153.0602, -4.3679, 12.024]}"
1696875789360,Poland-Slovakia border region,5.0,earthquake,"{'type': 'Point', 'coordinates': [21.7825, 49.0862, 8.273]}"
1696872286561,Chagos Archipelago region,4.6,earthquake,"{'type': 'Point', 'coordinates': [68.4348, -7.3719, 10]}"
1696870843190,"191 km NNW of Tobelo, Indonesia",4.4,earthquake,"{'type': 'Point', 'coordinates': [127.06, 3.1702, 45.028]}"
1696861745778,"4 km NE of La Maná, Ecuador",4.1,earthquake,"{'type': 'Point', 'coordinates': [-79.1892, -0.9149, 104.575]}"
1696861359534,"106 km E of Madang, Papua New Guinea",4.1,earthquake,"{'type': 'Point', 'coordinates': [146.7332, -5.3656, 236.279]}"
1696859964800,"5 km NNW of Nordheim, Texas",4.0,earthquake,"{'type': 'Point', 'coordinates': [-97.62, 28.966, 3.9861]}"
1696858696296,"234 km E of Levuka, Fiji",4.4,earthquake,"{'type': 'Point', 'coordinates': [-178.467, -17.9627, 573.593]}"
1696858689986,"105 km SW of Ternate, Indonesia",4.0,earthquake,"{'type': 'Point', 'coordinates': [126.7125, 0.1224, 62.057]}"
1696858246372,"36 km NNW of Herāt, Afghanistan",5.1,earthquake,"{'type': 'Point', 'coordinates': [62.0173, 34.6372, 10]}"
1696856634309,"81 km NW of San Antonio de los Cobres, Argentina",4.2,earthquake,"{'type': 'Point', 'coordinates': [-66.8695, -23.6798, 216.207]}"
1696855411192,,3.8,earthquake,"{'type': 'Point', 'coordinates': [178.9807, 51.4936, 32.248]}"
1696854955347,"198 km NNW of Tobelo, Indonesia",4.4,earthquake,"{'type': 'Point', 'coordinates': [127.0766, 3.2631, 39.14]}"
1696854278222,"203 km NNW of Tobelo, Indonesia",4.8,earthquake,"{'type': 'Point', 'coordinates': [127.0584, 3.2965, 34.086]}"
1696848683089,"233 km SSE of Tual, Indonesia",4.4,earthquake,"{'type': 'Point', 'coordinates': [133.5773, -7.5711, 10]}"
1696844760777,"30 km SE of Qarah Bāgh, Afghanistan",4.7,earthquake,"{'type': 'Point', 'coordinates': [62.0168, 34.7494, 10]}"
1696836119742,off the west coast of the South Island of New Zealand,4.2,earthquake,"{'type': 'Point', 'coordinates': [166.1303, -45.7315, 10]}"
1696835228226,"38 km S of Sarpol-e Z̄ahāb, Iran",4.6,earthquake,"{'type': 'Point', 'coordinates': [45.8027, 34.1165, 10]}"
1696834446387,"33 km NNW of Herāt, Afghanistan",4.9,earthquake,"{'type': 'Point', 'coordinates': [62.029, 34.6185, 10]}"
1696832934396,"8 km WSW of Yeşilyurt, Turkey",4.2,earthquake,"{'type': 'Point', 'coordinates': [38.1522, 38.2755, 10]}"
1696830849982,,4.5,earthquake,"{'type': 'Point', 'coordinates': [-66.8994, -23.9344, 211.965]}"
1696828180742,"76 km NNE of Otrada, Russia",5.3,earthquake,"{'type': 'Point', 'coordinates': [146.2867, 44.6817, 174.468]}"
1696825617041,Banda Sea,4.4,earthquake,"{'type': 'Point', 'coordinates': [129.6095, -6.9752, 154.599]}"
1696823448637,"97 km W of Gorontalo, Indonesia",5.1,earthquake,"{'type': 'Point', 'coordinates': [122.1974, 0.3901, 133.984]}"
1696822267257,,4.4,earthquake,"{'type': 'Point', 'coordinates': [133.9047, -4.5082, 10]}"
1696821663696,"231 km SSE of Tual, Indonesia",4.5,earthquake,"{'type': 'Point', 'coordinates': [133.4197, -7.6162, 10]}"
1696819894990,"51 km ENE of Noda, Japan",5.0,earthquake,"{'type': 'Point', 'coordinates': [142.393, 40.2517, 50.461]}"
1696819342177,"66 km NNE of Calama, Chile",4.1,earthquake,"{'type': 'Point', 'coordinates': [-68.6167, -21.9237, 100.12]}"
1696818068810,"Port Townsend, WA",4.34,earthquake,"{'type': 'Point', 'coordinates': [-122.7065, 48.032833333333336, 56.95]}"
1696814850721,"40 km WSW of Meulaboh, Indonesia",4.4,earthquake,"{'type': 'Point', 'coordinates': [95.8156, 3.9465, 51.988]}"
1696814415912,"63 km WNW of Kirakira, Solomon Islands",4.7,earthquake,"{'type': 'Point', 'coordinates': [161.3639, -10.299, 74.428]}"
1696811960630,Fiji region,4.6,earthquake,"{'type': 'Point', 'coordinates': [-177.6251, -20.2402, 499.749]}"
1696808105063,Panama-Colombia border region,4.6,earthquake,"{'type': 'Point', 'coordinates': [-77.1671, 8.8156, 25.935]}"
1696804949413,"14 km WNW of Tashanta, Russia",4.4,earthquake,"{'type': 'Point', 'coordinates': [89.0078, 49.771, 10]}"
1696804873640,"68 km WNW of El Aguilar, Argentina",4.6,earthquake,"{'type': 'Point', 'coordinates': [-66.3047, -22.9894, 237.861]}"
1696800623900,"7 km NW of The Geysers, CA",3.87,earthquake,"{'type': 'Point', 'coordinates': [-122.804, 38.8271667, 1.75]}"
1696800102192,"Izu Islands, Japan region",4.9,earthquake,"{'type': 'Point', 'coordinates': [139.9375, 29.7824, 10]}"
1696799849574,"Izu Islands, Japan region",5.4,earthquake,"{'type': 'Point', 'coordinates': [140.026, 29.7869, 10]}"
1696799608933,"Izu Islands, Japan region",5.1,earthquake,"{'type': 'Point', 'coordinates': [140.0434, 29.7887, 10]}"
1696799133644,,5.3,earthquake,"{'type': 'Point', 'coordinates': [140.0207, 29.758, 10]}"
1696798841697,"Izu Islands, Japan region",5.0,earthquake,"{'type': 'Point', 'coordinates': [140.0184, 29.8125, 10]}"
1696798608379,,4.9,earthquake,"{'type': 'Point', 'coordinates': [139.9328, 29.8249, 10]}"
1696798285664,,4.7,earthquake,"{'type': 'Point', 'coordinates': [139.9186, 29.77, 10]}"
